name,zip,title,specialties,price
Tiffany Looney,97005.0,"LicensedProfessionalCounselor,MS,LPC",  SexualAddiction   Autism   Asperger'sSyndrome  ,Upto$125
"Janiene Beauchene, Youth & Family Therapist",97005.0,"ClinicalSocialWork/Therapist,JD,LCSW",  FamilyConflict   TraumaandPTSD   RelationshipIssues  ,$125-$145
Joaquin Lopez,97005.0,"LPCIntern,MS,NCC",  Depression   Anxiety   Men'sIssues  ,$125
Christina Tingley,97005.0,"ClinicalSocialWork/Therapist,LCSW",  Depression   Anxiety   FamilyConflict  ,$75-$150
Meghan Smith,97005.0,"LicensedProfessionalCounselor,NCC,LPC",  EatingDisorders  ,Upto$145
Rebekah Springs,97005.0,"Marriage&FamilyTherapist,MA,LMFT,RPT",  ChildorAdolescent   BehavioralIssues   Parenting  ,$150-$200
Melody Jackman,97005.0,"LicensedProfessionalCounselor,MA,LPC",  TraumaandPTSD   RelationshipIssues   Parenting  ,$80-$140
Mary Hacopian,97005.0,"Psychologist,PsyD",  ChildorAdolescent   MoodDisorders   FamilyConflict  ,$150-$250
Lena Monteverdi,97005.0,"LicensedProfessionalCounselor,LPC,LMHC,MA",  TraumaandPTSD   ChildorAdolescent   DomesticViolence  ,$80-$130
Michael J Kadera,97005.0,"LicensedProfessionalCounselor,MA,LPC",  Anxiety   Depression   RelationshipIssues  ,$110+
Wendy Esther,97005.0,"Drug&AlcoholCounselor,LPC,CADCI,CGACII",  Addiction   Anxiety   Depression  ,$125-$175
Kelly D Boeve,97005.0,"LicensedProfessionalCounselor,MA,LPC",  Grief   LifeTransitions   Anxiety  ,$120-$145
Camille Keith,97005.0,"LPCIntern,MS,NCC",  LifeTransitions   Anxiety   SelfEsteem  ,$50-$75
Dave Terletzky,97005.0,"Psychologist,PsyD",  RelationshipIssues   Grief   TraumaandPTSD  ,$170-$220
Sheila Spain,97005.0,"Marriage&FamilyTherapist,PhD,LMFT,RN",  TraumaandPTSD   MaritalandPremarital   RelationshipIssues  ,$150
Susan Kelsay,97005.0,"Marriage&FamilyTherapist,LMFT",  RelationshipIssues   Grief   MaritalandPremarital  ,$90-$110
Tucker Hardy,97005.0,"ClinicalSocialWorkAssociate,MSW,CSWA", ,$25-$60
Don W Swan,97005.0,"Psychologist,PsyD",  BrokenTrust   RelationshipIssues   Depression  ,$160-$260
Elizabeth Leah Downs,97005.0,"ClinicalSocialWork/Therapist,LCSW,CHT,ACSW",  Depression   Anxiety   Addiction  ,$40-$90
Ivy Ross,97005.0,"Marriage&FamilyTherapist,LMFT",  ChildorAdolescent   Depression   Anxiety  ,$80-$180
"Tracy Lindstrom, LMFT",97005.0,"Marriage&FamilyTherapist,LMFT",  Depression   Anxiety   MaritalandPremarital  ,$100-$120
Elizabeth Ellisan,97005.0,"LicensedProfessionalCounselor,MA,LPC",  Anxiety   ChildorAdolescent   TraumaandPTSD  ,$120
Heleen Woest,97005.0,"LicensedProfessionalCounselor,MA,LPC,NCC",  TraumaandPTSD   RelationshipIssues   SexualAbuse  ,$150+
Susan Metcalfe,97005.0,"ClinicalSocialWork/Therapist,LCSW",  Anxiety   Depression   CopingSkills  ,$125-$150
Abigail Hawkins,97005.0,"ClinicalSocialWork/Therapist,MA,LCSW", ,$100-$130
Kathy Lefor,97005.0,"LicensedProfessionalCounselor,MS,LPC",  TraumaandPTSD   Anxiety   Depression  ,SlidingScale:Yes
Heidi Swartzmiller,97005.0,"Marriage&FamilyTherapistIntern,MA","  SexTherapy   Spirituality   Pregnancy,Prenatal,Postpartum  ",$80-$120
Therapy with George LLC,97005.0,"Marriage&FamilyTherapist,LMFT,(OR),LMFT-A,(SC)",  Men'sIssues   SelfEsteem   LifeTransitions  ,$85-$145
Horizon Greene,97005.0,"ClinicalSocialWork/Therapist,LCSW,LICSW",  TraumaandPTSD   Anxiety   Transgender  ,$170
R. Adam Dickey,97209.0,"Psychologist,PsyD",  TraumaandPTSD   MoodDisorders   Anxiety  ,$180-$220
Erica Tan,97210.0,"Psychologist,PsyD,LCP",  Gay   Transgender   MoodDisorders  ,$100-$180
Carol J. Stuart,97205.0,"Psychologist,PsyD",  RelationshipIssues   Grief   Anxiety  ,$180
"Jason Durtschi, LCSW (Tree of Life Counseling)",97227.0,"ClinicalSocialWork/Therapist,MSW,LCSW",  Depression   Anxiety   Addiction  ,$100-$130
Robert Socherman,97227.0,"Psychologist,PhD",  HomeVisits   RelationshipIssues   TraumaandPTSD  ,$120-$180
Michael Kubetz,97209.0,"LicensedProfessionalCounselor,MA,LMFT,LPC",  RelationshipIssues   Grief   Infidelity  ,$100-$140
Kathleen McLaughlin,97225.0,"ClinicalSocialWork/Therapist,LCSW,PhD",  Anxiety   Depression   RelationshipIssues  ,$140
Sara Penner,97239.0,"ClinicalSocialWork/Therapist,LCSW",  ChildorAdolescent   Parenting  ,$70-$100
Brandy K. Poirier,97205.0,"LicensedProfessionalCounselor,MA,LPC",  TraumaandPTSD   FamilyofOriginIssues   ADHD  ,$150-$225
Loralee Newman,97239.0,"LicensedProfessionalCounselor,MA,LPC",  RelationshipIssues   Depression   LifeCoaching  ,$175-$250
Patrick Bartos,97205.0,"Psychologist,PsyD", ,$150-$200
"Heart Thyself, LLC",97210.0,"LicensedProfessionalCounselor,LPC",  NarcissisticPersonality   Codependency   RelationshipIssues  ,$125-$235
Brynna Sibilla,97232.0,"ClinicalSocialWork/Therapist,LCSW",  Anxiety   RelationshipIssues   Depression  ,$120-$150
Anne Sophie Houdek,97232.0,"ClinicalSocialWork/Therapist,LCSW",  Depression   RelationshipIssues   Grief  ,$120
LifeStar Oregon,97124.0,"LicensedProfessionalCounselor,LPC,CSAT",  SexualAddiction   RelationshipIssues   Addiction  ,$80-$120
Shauri Bunch,97209.0,"LicensedProfessionalCounselor,MA,LPC",  RelationshipIssues   Depression   Anxiety  ,$130-$150
The Mustard Seed for Counseling,97215.0,"LPCIntern,MA",  MoodDisorders   RelationshipIssues   Parenting  ,$20-$60
Jessica Macklin,97045.0,"LicensedProfessionalCounselor,MA,CADCIII,LPC",  RelationshipIssues   FamilyConflict   Transgender  ,$80-$100
Susan Diane Gendein-Marshall,97210.0,"Psychologist,PhD",  Anxiety   Depression   SelfEsteem  ,$160-$180
Douglas Johns,97209.0,"ClinicalSocialWork/Therapist,LCSW",  RelationshipIssues   AngerManagement  ,$150
Sarah Dreyer,97124.0,"ClinicalSocialWork/Therapist,MSW,LCSW",  ChildorAdolescent   Addiction   TraumaandPTSD  ,$100-$110
Rebecca Roxanne Coren,97225.0,"LicensedProfessionalCounselor,MA,LPC",  RelationshipIssues   Anxiety   FamilyConflict  ,$80-$100
Anna Lisa Couturier,97232.0,"ClinicalSocialWork/Therapist,LCSW,CADCI",  TraumaandPTSD   Depression   Addiction  ,$120
Bart J. Walsh,97219.0,ClinicalSocialWork/Therapist,  TraumaandPTSD   ChronicPain   Anxiety  ,$80-$90
"Tracy Heart, M.A., L.P.C.",97219.0,"LicensedProfessionalCounselor,MA,LPC",  TrainedinEMDR&FlashTechnique   LifeCoaching   Codependency  ,SlidingScale:Yes
Jean K Shirkoff,97209.0,"ClinicalSocialWork/Therapist,LCSW,MSW,BCD,ACSW",,$120+
Sonya Shepsis,97205.0,"Psychologist,PsyD",  Depression   SelfEsteem   RelationshipIssues  ,$150-$165
"Diane C Moore, MA, LPC",97223.0,"LicensedProfessionalCounselor,MA,MFT,LPC",  RelationshipIssues   Anxiety   CopingSkills  ,$90-$150
Kathryn Senders,97209.0,"LicensedProfessionalCounselor,MA,LPC",  Depression   CopingSkills   RelationshipIssues  ,$100-$150
Tracy Jendritza,97210.0,"Psychologist,PsyD,DBT-LBC",  BorderlinePersonality   ChronicImpulsivity   Parenting  ,$160-$215
Paul Lee,97214.0,"ClinicalSocialWork/Therapist,LCSW",  AngerManagement   SexualAbuse   Depression  ,$85-$135
Larry Conner,97214.0,"LicensedProfessionalCounselor,MA,LPC",  MaritalandPremarital   SexualAddiction   Depression  ,$160-$200
Britt Anderson,97219.0,"Psychologist,PhD",  RelationshipIssues   Anxiety   Depression  ,$200-$250
Catherine M Melo,98663.0,"ClinicalSocialWork/Therapist,MSW,LCSW",  RelationshipIssues   Depression   TraumaandPTSD  ,$100-$150
"Norma Schell, MA, LPC, MHC",97205.0,"LicensedProfessionalCounselor,MA,LPC,MHC",  Depression   Anxiety   ChronicIllness  ,$90-$150
Sarah Hoagland,97205.0,"LicensedProfessionalCounselor,MA,LPC",  RelationshipIssues   Depression   Anxiety  ,$125-$150
Meghan Campbell,97202.0,"LicensedProfessionalCounselor,MSEd,LPC",  EatingDisorders   DualDiagnosis   LifeTransitions  ,$120-$160
Karen St Clair,97214.0,"ClinicalSocialWork/Therapist,LCSW",  Grief   Addiction   TraumaandPTSD  ,$80-$90
Dino Paris Counseling & High Performance Coaching,97239.0,"Marriage&FamilyTherapist,MA,LMFT",  TraumaandPTSD   Anxiety   SportsPerformance  ,$190
Jane Newman,97225.0,"LicensedProfessionalCounselor,LPC",,$120-$140
Florence Trentacosti,97225.0,"Psychologist,PsyD",  Depression   Anxiety   RelationshipIssues  ,$175
"Portland Neurofeedback, LLC",97212.0,"LCSW,PhD,LPC,QMHP",  Anxiety   SleeporInsomnia   Stress  ,$95-$160
Jeanne V Bjorklund,97239.0,"Marriage&FamilyTherapist,MA,LMFT-CA",  RelationshipIssues   Codependency   Spirituality  ,$90-$100
The Hope Connection,97221.0,"Marriage&FamilyTherapist,LMFT,LPC",  TraumaandPTSD   ChildorAdolescent   RelationshipIssues  ,$30-$160
The Four Rivers,97216.0,"Counselor,MDiv",  SexualAddiction   RelationshipIssues   FamilyConflict  ,SlidingScale:Yes
Sean Erik Barnett,97209.0,"ClinicalSocialWork/Therapist,LCSW",  Depression   Anxiety  ,$70-$100
Kathy Ann Hardie-Williams,97223.0,"Marriage&FamilyTherapist,MEd,MS,LPC,LMFT",  RelationshipIssues   FamilyConflict   Parenting  ,$175-$200
Jennifer Morris,97219.0,"LicensedProfessionalCounselor,LPC",  Depression   Anxiety   CopingSkills  ,$80+
Mary J DiOrio,97205.0,"ClinicalSocialWork/Therapist,MSW,LCSW",  EatingDisorders   RelationshipIssues   Anxiety  ,$170-$195
Lydia M Radke,97123.0,"ClinicalSocialWork/Therapist,LCSW",  LifeTransitions   EmotionalDisturbance   RelationshipIssues  ,$100-$150
Jennifer E Kelly,97205.0,"Psychologist,PsyD",  RelationshipIssues   Anxiety   Depression  ,$120-$160
Tim Zoebelein,97116.0,"ClinicalSocialWork/Therapist,LCSW,ACSW",  Stress   Anxiety   Addiction  ,$90-$100
Angelie Karabatsos,97223.0,"LicensedProfessionalCounselor,LPC,NCC,MA",  Anxiety   MaritalandPremarital   Depression  ,$80-$175
Blake Locher,97205.0,"LicensedProfessionalCounselor,MS,CRC,LPC",  Anxiety   Depression   SelfEsteem  ,$60-$100
Jean Linscott,97035.0,"Psychologist,PhD",  Anxiety   Parenting   PeerRelationships  ,$150-$230
Jennifer DeVan,97214.0,"ClinicalSocialWork/Therapist,LCSW",  Depression   Anxiety   SelfEsteem  ,$110-$150
Dr. Darin Bergen,97214.0,"Psychologist,PsyD",  Depression   TraumaandPTSD   Divorce  ,$180
Katherine Jansen-Byrkit,97239.0,"LicensedProfessionalCounselor,MPH,LPC",  RelationshipIssues   MoodDisorders   Spirituality  ,$70-$90
Life Encounter Counseling,97223.0,"LicensedProfessionalCounselor,MA,MFT,CCTP,LPC",  TraumaandPTSD   RelationshipIssues   Anxiety  ,$80-$160
Janet B. Reigel,97401.0,"Psychologist,PsyD",  Anxiety   Depression   RelationshipIssues  ,$160-$250
Stephen Boyd,97202.0,"Psychologist,PhD",  ChronicPain   AlcoholUse   Depression  ,PayBy:
Susan Pease Banitt,97219.0,"ClinicalSocialWork/Therapist,LCSW,RYT",  TraumaandPTSD   Spirituality   DissociativeDisorders  ,$60-$180
"Anxiety and Panic Treatment Center, LLC",97201.0,"Psychologist,PhD","  Obsessive-Compulsive(OCD)   Anxiety   Trichotillomania,Hypochondriasis  ",$110-$200
Martin Fisher,97205.0,"Psychologist,PsyD",  RelationshipIssues   Depression   Anxiety  ,Upto$160
Sarah Schrott,97205.0,"ClinicalSocialWork/Therapist,LCSW",  RelationshipIssues   Depression   Anxiety  ,$90-$145
Chris Lehman,97219.0,"LPCIntern,MA,MS",  RelationshipIssues   LifeTransitions   Anxiety  ,$90
Graham Sterling,97210.0,"LicensedProfessionalCounselor,MA,NCC,LPC",  RelationshipIssues   FamilyConflict   Grief  ,$70-$110
Jacci Jones,97006.0,"Marriage&FamilyTherapist,LMFT",  Parenting   Depression   Addiction  ,$80-$110
Samantha Forsythe,97205.0,"Psychologist,PsyD",  Anxiety   RelationshipIssues   Infertility  ,$150+
Sharon Elwood,97223.0,"LicensedProfessionalCounselor,MA,LPC",  RelationshipIssues   Anxiety   Parenting  ,$120
Robert L Marrs,97223.0,"ClinicalSocialWork/Therapist,LCSW,PC", ,$100-$160
Megan Ogle,97205.0,"Psychologist,PsyD",  MoodDisorders   Anxiety   SelfEsteem  ,$140-$175
Annette R Rankin,97236.0,"Marriage&FamilyTherapist,LMFT",  Depression   Anxiety   RelationshipIssues  ,$80-$140
Terri L. Mishler,97006.0,"Psychologist,PsyD",  RelationshipIssues   Depression   Anxiety  ,AcceptedInsurancePlans
New Springs Counseling Service Brian Longworth,97223.0,"LicensedProfessionalCounselor,MDiv,PhD,LPC",  MaritalandPremarital   Men'sIssues   PersonalityDisorders  ,$30-$150
Christine G Glenn,97219.0,"Psychologist,PhD",  Anxiety   Depression   ADHD  ,$80-$150
Be Heard Counseling LLC,97124.0,"LicensedProfessionalCounselor,MA,MFT,LPC",  Parenting   ChildorAdolescent   RelationshipIssues  ,$90-$130
Kelly Arthur,97202.0,"LicensedProfessionalCounselor,MS,NCC,CADCI",  RelationshipIssues   MaritalandPremarital   Grief  ,$120-$140
Susan Scharfman,97215.0,"LicensedProfessionalCounselor,MS,MFT,LPC",  RelationshipIssues   Anxiety   Grief  ,$80-$120
"Lisa Sloan Strom, LPC, LLC",97221.0,"LicensedProfessionalCounselor,MA,LPC,CADC-I",  LifeTransitions   LifeCoaching   CopingSkills  ,$150-$200
Brooke Gateley Meier,97203.0,"ClinicalSocialWork/Therapist,LCSW",  Stress   SexualAbuse   Anxiety  ,$100-$150
Wendy Haynes,97232.0,"Counselor,MA,PhD,LMFT",  CopingSkills   RelationshipIssues   LifeTransitions  ,$160-$190
Leah Haas,97205.0,"Pre-LicensedProfessional,MSW,CSWA",  SexTherapy   Transgender   Gay  ,$100-$120
Crystal J Mattox,97219.0,"Marriage&FamilyTherapist,LMFT",  RelationshipIssues   TraumaandPTSD   Grief  ,$150-$200
"Couples, family & child therapy office",97219.0,"LicensedProfessionalCounselor,MA,LPC,NCC",  RelationshipIssues   TraumaandPTSD   Anxiety  ,$90-$185
Vanessa Washington,97205.0,"LicensedProfessionalCounselor,LPC,NCC",  TraumaandPTSD   Anxiety   LifeTransitions  ,$90-$160
Holly K Severson,97702.0,"LicensedProfessionalCounselor,LPC",  RelationshipIssues   SelfEsteem   Women'sIssues  ,$150-$175
Whitney Preece,97215.0,"LicensedProfessionalCounselor,MS,LPC",  RelationshipIssues   Depression   Anxiety  ,$125-$175
Michael Makinster,97220.0,"LicensedProfessionalCounselor,MA,LPC",  MoodDisorders   MaritalandPremarital   Anxiety  ,$60-$125
Tracy L Lewis,97215.0,"LicensedProfessionalCounselor,MA,LPC",  RelationshipIssues   MoodDisorders   MaritalandPremarital  ,$120
Elizabeth C Gentzkow,97239.0,"LicensedProfessionalCounselor,LPC,CMHIMP,BC-TMH",  Anxiety   CareerCounseling   RelationshipIssues  ,$125-$209
James Delaney,97223.0,"Marriage&FamilyTherapist,MEd,LMFT",  Depression   Anxiety   TraumaandPTSD  ,$100-$180
Julie Streit,97223.0,Pre-LicensedProfessional,  SuicidalIdeation   Spirituality   DomesticAbuse  ,$40-$60
Bridget Lovejoy,97221.0,"ClinicalSocialWork/Therapist,LCSW",  RelationshipIssues   TraumaandPTSD   Anxiety  ,$130+
Andrew K. Lundgren,97225.0,"Marriage&FamilyTherapist,MA,LPC,LMFT",  RelationshipIssues   Depression   CareerCounseling  ,$90-$150
Thrive West Counseling & Consulting,97239.0,"LPC,NCC,BC-TMH",  Anxiety   TraumaandPTSD   CareerCounseling  ,$100-$209
MindTree Holistic Counseling & Wellness Center LLC,97221.0,Marriage&FamilyTherapist,  Anxiety   ChildorAdolescent   RelationshipIssues  ,
Sandie Lamb-Moudy,97221.0,,  Grief   LifeTransitions   Depression  ,$30-$40
Panoramic Counseling,97218.0,"LPCIntern,CRC,CEAS,LPC-I",  LifeTransitions   CareerCounseling   Grief  ,$85-$125
Rachel Arias,97205.0,"Marriage&FamilyTherapistIntern,MS",  Anxiety   LifeTransitions   RelationshipIssues  ,
Nannette Zirnstein,97225.0,"LicensedProfessionalCounselor,LPC",  Transgender   RelationshipIssues   Anxiety  ,$165-$190
Yerim Park,97223.0,"LPCIntern,LPCI,MSW,MA",  Depression   Grief   LifeCoaching  ,$30-$40
Tom Swafford,97217.0,"Pre-LicensedProfessional,MA",  Gay   Men'sIssues   Stress  ,$70-$90
Debbie A Fitzpatrick,97078.0,"Counselor,MA,LPC",  TraumaandPTSD   Divorce   LifeTransitions  ,$75-$125
Sarah Adams,97296.0,"Marriage&FamilyTherapist,MS",  ChildorAdolescent   FamilyConflict   BehavioralIssues  ,$120-$150
Brent Moore,97229.0,"LicensedProfessionalCounselor,MA,LPC",  EatingDisorders   Anxiety   Depression  ,$175-$225
Christina M Avellan,97205.0,"Pre-LicensedProfessional,MA,MHC,PC",  TraumaandPTSD   SelfEsteem   Anxiety  ,$100+
Erin Winn Oliva,97205.0,"ClinicalSocialWork/Therapist,LCSW,MSW,QMHP",  TestingandEvaluation   TraumaandPTSD  ,$600-$800
Char Aubrey,97214.0,"LPCIntern,MS,NCC","  RelationshipIssues   Pregnancy,Prenatal,Postpartum   Anxiety  ",$100-$150
Kim Daglen,97221.0,Pre-LicensedProfessional,  Anxiety   Depression   LifeTransitions  ,$30-$40
Robyn Gibbs,97401.0,"ClinicalSocialWork/Therapist,LCSW",  Women'sIssues   TraumaandPTSD   LifeTransitions  ,AcceptedInsurancePlans
Tim Phillips,97223.0,"LicensedProfessionalCounselor,MA,LPC",  TraumaandPTSD   Anxiety   Depression  ,$135-$180
Crystal Schneider,97123.0,"LicensedProfessionalCounselor,LPC,CADCI", ,$30-$100
Jennifer Moore,97205.0,"LicensedProfessionalCounselor,MA,LPC,NCC",  MoodDisorders   Anxiety   RelationshipIssues  ,$150
Nadia Delshad,3110.0,"Psychologist,PsyD,MSc,DipHypn",  RelationshipIssues   MaritalandPremarital   Infidelity  ,$150-$250
Karen Phillips,97223.0,"LicensedProfessionalCounselor,MA,LPC",  TraumaandPTSD   Depression   Anxiety  ,$135-$180
Patrick Ethel-King,97223.0,"Psychologist,PhD",  ChildorAdolescent   TestingandEvaluation   RacialIdentity  ,$100-$160
"Barcelona Counseling, LLC",97005.0,"LicensedProfessionalCounselor,LPC,NCC,LH",  TraumaandPTSD   RelationshipIssues   SelfEsteem  ,$125-$165
Jennifer Fergusson,97005.0,"LicensedProfessionalCounselor,LPC,PMH-C","  Pregnancy,Prenatal,Postpartum   Women'sIssues   LifeTransitions  ",$160-$200
Jaxon Shaffer,97005.0,"Marriage&FamilyTherapistIntern,MA",  RelationshipIssues   SelfEsteem   Transgender  ,$100-$130
Saya Doucet,97005.0,"LPCIntern,MA,LPC-I",  Depression   Anxiety   DomesticViolence  ,AcceptedInsurancePlans
Heidi Scanlan,97005.0,"ClinicalSocialWork/Therapist,MSW,LCSW","  Pregnancy,Prenatal,Postpartum   Depression   Anxiety  ",$85-$225
Jasmine Arrusamy,97005.0,"LicensedProfessionalCounselor,MA,NCC,LPC",  ChildorAdolescent   Parenting   Stress  ,$85-$155
Maureen McCormick,97005.0,"ClinicalSocialWork/Therapist,LCSW",  Grief   LifeTransitions   ChronicIllness  ,$50-$100
Ushirika V. Johnson,97005.0,"LicensedProfessionalCounselor,MA,NCC,LPC,CDWF",  Women'sIssues   Anxiety   MaritalandPremarital  ,$100-$120
Fiona Chen,97005.0,"ClinicalSocialWork/Therapist,LCSW",  Stress   RelationshipIssues   SelfEsteem  ,$110-$150
Chris Corbett,97005.0,"Psychologist,PsyD",  Anxiety   Depression   TestingandEvaluation  ,$120-$210
"Melanie Smith-Thuret, M.S., MSW, LCSW",97005.0,"ClinicalSocialWork/Therapist,MS,MSW,LCSW",  Depression   Anxiety   Women'sIssues  ,$150-$225
Jerome Yoman,97005.0,"Psychologist,PhD,ABPP",  Depression   RelationshipIssues   Psychosis  ,$150-$200
"Glynis M. Stafford, MA LPC",97005.0,"LicensedProfessionalCounselor,MA,LPC,DBTC,NCC",  Anxiety   Depression   CopingSkills  ,$90-$180
Jolene Molinaro,97005.0,"ClinicalSocialWork/Therapist,LCSW",  MoodDisorders   Anxiety   RelationshipIssues  ,$80-$120
"A Healing Intention, LLC",97005.0,"ClinicalSocialWork/Therapist,LCSW",  Anxiety   Depression   Transgender  ,$70-$250
Albatross Counseling Services,97005.0,"LPCIntern,MS,CRC,",  Men'sIssues   Anxiety   ChronicIllness  ,$50-$80
Amy McClung,97005.0,"Marriage&FamilyTherapist,MA,LPC,LMFT","  Pregnancy,Prenatal,Postpartum   Women'sIssues   LifeTransitions  ",$120-$180
Megan Callahan,97227.0,"Psychologist,PsyD",  Depression   TraumaticBrainInjury   TestingandEvaluation  ,$170+
Julie Cavese,97205.0,"LicensedProfessionalCounselor,PsyD,LPC",  Depression   Divorce   RelationshipIssues  ,$130-$150
Carolen A. Hope,97221.0,"Psychologist,PhD",  TraumaandPTSD   Anxiety   Depression  ,$95-$165
Angela Ritacca-Lovenguth,97124.0,"LicensedProfessionalCounselor,LPC,ATR,MA,BA",  Anxiety   Depression   TraumaandPTSD  ,$130-$250
"Rayna L Jenks, LCSW, LLC",97225.0,"ClinicalSocialWork/Therapist,LCSW",  Anxiety   SubstanceUse   Depression  ,$120-$290
Lua Weatherdon,97225.0,"ClinicalSocialWork/Therapist,LCSW",  TraumaandPTSD   Anxiety   Depression  ,$140-$220
Steven Bo O'Dell,97214.0,"ClinicalSocialWork/Therapist,MSW,LCSW,BCD,CHT",  SexualSelfPerceptionandEsteem   Anxiety   Depression  ,$145+
Jolie Krechman,97296.0,"Psychologist,PhD,LLC",  RelationshipIssues   Anxiety   Depression  ,$185
Michaele P Dunlap,97209.0,"Psychologist,PsyD",  RelationshipIssues   Anxiety   FamilyConflict  ,$165-$190
Garrett Baldwin,97225.0,"LicensedProfessionalCounselor,MA,LPC,LMFT",  RelationshipIssues   Anxiety   SelfEsteem  ,$170-$200
Patrick Nagel,97007.0,"LicensedProfessionalCounselor,MS",  Men'sIssues   Transgender   BipolarDisorder  ,$100-$140
Whole Life Therapy,97213.0,"LicensedProfessionalCounselor,MA,LPC","  Pregnancy,Prenatal,Postpartum   Parenting   RelationshipIssues  ",$100-$150
Naomi Steinberg,97209.0,"Psychologist,PhD", ,$120-$160
Angela S Newburg,97225.0,"LicensedProfessionalCounselor,MA,LPC",  TraumaandPTSD   Depression   Spirituality  ,$75-$180
Andrew P. Price,97214.0,"ClinicalSocialWork/Therapist,MSW,LCSW",  Depression   RelationshipIssues   Anxiety  ,$130-$160
Janet Barlow,97225.0,"ClinicalSocialWork/Therapist,LCSW",  Anxiety   Addiction   Codependency  ,$130-$150
Michael Cronin,97124.0,"LicensedProfessionalCounselor,LPC,CADCI,CGACII",  Addiction   RelationshipIssues   Depression  ,$90
Darci L Walker,97205.0,"Psychologist,PsyD",  Anxiety   Depression   Parenting  ,$200-$250
Gregory Devore,97213.0,"Psychologist,PhD",  Anxiety   ADHD   Obsessive-Compulsive(OCD)  ,$100-$160
Sarah Fairchild,97205.0,"Psychologist,PsyD",  Anxiety   RelationshipIssues   CopingSkills  ,$170-$200
Jennifer Rich,97209.0,"LicensedProfessionalCounselor,MA,LPC,EMDR",  TraumaandPTSD   Anxiety   RelationshipIssues  ,$120-$160
C.J. Sanders,97239.0,"Marriage&FamilyTherapistIntern,MA",  MaritalandPremarital   RelationshipIssues   Codependency  ,$120-$135
Mindful Lotus Therapy and Wellness,97214.0,"Counselor,LPC",  Anxiety   Depression   TraumaandPTSD  ,$100-$160
Beth Shiveley,97225.0,"LicensedProfessionalCounselor,MA,NCC,LPC",  TraumaandPTSD   Anxiety   Depression  ,$160
Hunter Vaughn,97214.0,"Psychologist,PsyD",  Gay   Transgender   RelationshipIssues  ,$150-$270
Wes Harris,97205.0,"LicensedProfessionalCounselor,MA,LPC,CADC,I",  Anxiety   Addiction   Depression  ,$80-$160
Erika Ruber,97212.0,"ClinicalSocialWork/Therapist,LCSW",  Depression   RelationshipIssues   TraumaandPTSD  ,$120
Maggie Marmaduke Breitenstein,97225.0,"LicensedProfessionalCounselor,MA,LPC",  RelationshipIssues   TraumaandPTSD   FamilyConflict  ,$120-$150
Katherine Reed,97223.0,"ClinicalSocialWork/Therapist,MSW,LCSW",  ChildorAdolescent   Parenting   Anxiety  ,$160-$200
